flex1,flex2,flex3,flex4,flex5,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
151.0,0.0,247.0,2512.0,182.0,13196.0,1620.0,10168.0,-785.0,-364.0,41.0,i
130.0,0.0,252.0,2493.0,176.0,13236.0,1956.0,10384.0,-1263.0,-274.0,-162.0,i
137.0,0.0,240.0,2503.0,198.0,12932.0,2020.0,10448.0,-507.0,-542.0,11.0,i
171.0,0.0,239.0,2505.0,176.0,13092.0,1656.0,10284.0,-857.0,-242.0,164.0,i
188.0,0.0,240.0,2507.0,165.0,13012.0,2020.0,10360.0,-812.0,-383.0,-93.0,i
167.0,0.0,233.0,2512.0,190.0,13040.0,1924.0,10520.0,-423.0,-362.0,229.0,i
126.0,0.0,240.0,2519.0,176.0,13064.0,1896.0,10476.0,-845.0,-490.0,-108.0,i
117.0,0.0,231.0,2496.0,170.0,12876.0,1772.0,10708.0,-973.0,-450.0,-20.0,i
112.0,7.0,217.0,2512.0,153.0,13128.0,1588.0,10476.0,-1140.0,-188.0,-16.0,i
160.0,0.0,225.0,2506.0,185.0,13072.0,1372.0,10548.0,-486.0,-427.0,116.0,i
194.0,0.0,227.0,2497.0,192.0,12868.0,1504.0,10456.0,-606.0,-161.0,104.0,i
171.0,3.0,229.0,2498.0,178.0,12984.0,1524.0,10464.0,-949.0,-448.0,-159.0,i
117.0,0.0,234.0,2491.0,178.0,13092.0,1532.0,10384.0,-1058.0,-324.0,-129.0,i
117.0,0.0,238.0,2506.0,175.0,12996.0,1416.0,10552.0,-763.0,-311.0,66.0,i
122.0,0.0,240.0,2500.0,164.0,12928.0,1204.0,10632.0,-1081.0,-448.0,-245.0,i
128.0,10.0,240.0,2504.0,175.0,12740.0,1392.0,10680.0,-712.0,-449.0,-87.0,i
166.0,0.0,240.0,2512.0,176.0,12620.0,1232.0,10620.0,-780.0,-264.0,43.0,i
184.0,3.0,224.0,2487.0,176.0,13024.0,1188.0,10484.0,-410.0,-407.0,171.0,i
144.0,0.0,240.0,2499.0,186.0,12836.0,1420.0,10764.0,-534.0,-395.0,100.0,i
107.0,16.0,235.0,2500.0,188.0,13004.0,1116.0,10572.0,-936.0,-382.0,-40.0,i
0.0,537.0,479.0,2491.0,285.0,1140.0,-2668.0,16032.0,764.0,-1153.0,-2993.0,am
0.0,527.0,482.0,2510.0,266.0,1668.0,228.0,16060.0,3180.0,-567.0,-2770.0,am
0.0,543.0,485.0,2532.0,277.0,1752.0,2656.0,15908.0,-971.0,-365.0,206.0,am
0.0,532.0,479.0,2512.0,272.0,1024.0,752.0,15772.0,-1711.0,1159.0,5843.0,am
0.0,511.0,480.0,2507.0,298.0,368.0,-2496.0,17204.0,-778.0,-625.0,-343.0,am
0.0,525.0,475.0,2496.0,277.0,1224.0,720.0,16460.0,-286.0,-1647.0,-4393.0,am
0.0,539.0,493.0,2500.0,279.0,1852.0,1856.0,16028.0,-88.0,-914.0,-2506.0,am
0.0,541.0,481.0,2512.0,278.0,1664.0,1844.0,16072.0,-1027.0,235.0,3365.0,am
0.0,542.0,483.0,2503.0,300.0,1476.0,112.0,16468.0,-1748.0,-440.0,3740.0,am
0.0,534.0,481.0,2496.0,288.0,1628.0,-1468.0,16460.0,-669.0,-689.0,-1384.0,am
0.0,545.0,491.0,2510.0,270.0,2232.0,1060.0,16188.0,-287.0,-1385.0,-4147.0,am
0.0,538.0,479.0,2512.0,272.0,2496.0,2532.0,15876.0,-440.0,-305.0,-1001.0,am
0.0,529.0,489.0,2511.0,262.0,2004.0,2160.0,15588.0,-1616.0,628.0,4310.0,am
0.0,530.0,497.0,2487.0,270.0,1332.0,-1284.0,16684.0,-1409.0,466.0,2263.0,am
